1;mere;5.0;1.0;0;0
2;banane;7.0;1.0;0;0
3;ananas;13.0;1.0;2;0
4;capsuni;10.0;1.0;0;0
5;struguri;9.0;1.0;0;0
6;rosii;5.0;1.0;0;1
7;castravete;7.0;1.0;2;1
8;ardei;15.0;1.0;0;1
9;avocado;5.0;1.0;2;1
10;salata;2.0;1.0;2;1
11;bacon;10.0;1.0;2;2
12;iaurt;3.0;1.0;2;3
13;mozzarella;7.0;1.0;2;3
14;paine;3.0;1.0;2;4
15;lipie;2.0;1.0;2;4
16;gelDus;20.0;1.0;2;5
17;sapun;5.0;1.0;2;5
18;cola;5.0;1.0;2;6
19;whiskey;100.0;1.0;1;6
20;apa;3.0;1.0;1;6
21;banane;5.5;1.0;0;0
22;rosii;4.5;1.0;0;1
23;salam;30.5;1.0;0;2
24;branza;20.5;1.0;0;3
25;paine;1.5;1.0;2;4
26;detergent;10.5;1;1;5
27;vin;14.0;1;1;6
